2026-08-06 02:39:59,629 | ERROR | camera-CAM_CAMERA_D7_701:8292 | camera.camera_worker | Camera CAM_CAMERA_D7_701 failed to read frame
2026-08-06 11:33:36,584 | ERROR | camera-CAM_CAMERA_D7_701:15956 | camera.camera_worker | Camera CAM_CAMERA_D7_701 failed to read frame
2026-08-06 12:37:52,393 | ERROR | camera-CAM_CAMERA_D8_801:18080 | camera.camera_worker | Camera CAM_CAMERA_D8_801 failed to read frame
2026-08-06 17:46:03,682 | ERROR | camera-CAM_CAMERA_D7_701:16592 | camera.camera_worker | Camera CAM_CAMERA_D7_701 failed to read frame
2026-08-07 11:33:31,100 | ERROR | camera-CAM_Juniv301:5708 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:37:03,254 | ERROR | camera-CAM_Juniv301:20504 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:37:06,419 | ERROR | camera-CAM_Juniv301:20504 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:10,425 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:13,627 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:16,931 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:20,137 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:23,332 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:26,558 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:29,756 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:32,951 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:36,186 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:39,450 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:42,627 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:45,870 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:49,068 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:52,246 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:55,493 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:38:58,672 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:39:01,864 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
2026-08-07 11:39:05,104 | ERROR | camera-CAM_Juniv301:19488 | camera.camera_worker | Reconnecting camera after 10 consecutive read failures: camera=CAM_Juniv301
